Impares,Pares,Primos
31,38,13
23,16,67
19,36,3
1,10,59
47,30,2
21,30,1
17,42,71
29,46,1
23,2,79
19,22,1
49,8,2
33,10,79
21,42,53
5,14,13
25,10,29
27,20,23
15,42,2
25,40,89
9,20,29
47,14,7
21,6,71
7,14,31
49,36,1
31,42,17
33,12,53
3,4,13
31,18,71
21,10,2
7,44,43
33,34,71
27,20,83
31,18,97
47,32,41
27,12,7
49,34,73
29,48,89
1,32,67
39,50,1
25,18,29
39,36,3
19,8,31
5,26,37
33,36,37
13,48,79
49,32,23
47,18,2
33,32,41
45,12,11
19,38,73
49,2,37
13,38,2
9,8,23
43,28,31
23,14,29
7,34,67
9,42,43
15,44,79
19,42,67
45,18,31
33,10,73
43,18,2
27,14,11
1,20,79
17,22,17
3,44,53
3,44,23
21,22,23
15,38,41
25,16,37
35,44,2
37,32,79
13,28,47
5,26,61
1,46,41
13,22,7
9,36,23
3,42,11
45,28,7
29,20,23
13,26,43
23,38,2
1,8,43
25,6,59
29,40,89
3,18,71
39,44,79
29,36,23
27,34,31
29,48,79
15,26,17
25,34,43
31,30,13
19,32,19
41,32,73
39,22,43
33,36,37
49,18,97
5,26,2
11,40,83
23,42,11
