"X1"||"X2"||"X3"||"X4"||"X5"||"X6"||"X7"||"X8"||"X9"||"X10"||"X11"||"X12"||"X13"||"X14"||"X15"||"X16"||"X17"||"X18"||"X19"||"X20"
1||6||49||170||299||555||774||1121||1491||1817||26||58||217||544||782||1332||1677||2478||3124||3792
1||6||77||170||377||555||774||1220||1606||1975||26||58||341||561||986||1369||1720||2562||3285||3792
1||8||88||190||377||555||774||1340||1606||1975||27||58||341||627||986||1406||1720||2814||3285||3792
1||10||88||230||377||592||774||1340||1606||2075||27||58||341||759||1015||1406||1720||2881||3285||4067
1||10||88||230||406||592||774||1340||1606||2075||27||58||352||759||1044||1406||1763||2881||3358||4067
4||15||104||253||434||697||893||1340||1738||2225||54||87||416||759||1116||1558||1974||2948||3634||4361
4||15||117||276||434||697||1007||1491||1817||2225||54||90||416||759||1116||1558||2226||3124||3713||4361
6||42||117||276||434||738||1007||1491||1817||2314||56||210||416||759||1116||1599||2226||3124||3713||4361
6||42||117||276||434||738||1007||1491||1817||2522||56||210||416||782||1116||1599||2226||3124||3713||4753
6||49||153||299||465||774||1121||1491||1817||2522||56||217||544||782||1116||1677||2478||3124||3713||4850
